bbk_full;bbk_abb;description;changes;;;
24.23;24.23;Органические соединения;;;;
24.234;24.234;Ациклические соединения (алифатические соединения,;;;;
;;соединения жирного ряда);;;;
24.235;24.235;Изоциклические (карбоциклические) соединения;;;;
24.236;24.236;Гетероциклические соединения;;;;
24.237;24.237;Элементоорганические соединения;;;;
24.238;24.238;Органические соединения, содержащие изотопы;;;;
24.239;24.239;Природные органические соединения и их синтетические аналоги;;;;
45771;45771;Аналитическая химия;;;;
24.46;24.46;Физические и физико-химические методы анализа;;;;
45801;45801;Физическая химия. Химическая физика;;;;
24.53;24.53;Химическая термодинамика. Термохимия. Равновесия. Физико-;;;;
;;химический анализ;;;;
24.54;24.54;Химическая кинетика. Горение, детонация и взрывы. Катализ;;;;
24.57;24.57;Электрохимия;;;;
24.58;24.58;Физическая химия поверхностных явлений;;;;
45832;45832;Коллоидная химия (физико-химия дисперсных систем);;;;
45862;45862;Химия высокомолекулярных соединений (полимеров);;;;
24.72;24.72;Синтетические высокомолекулярные соединения;;;;
24.73;24.73;Природные высокомолекулярные соединения;;;;
24.74;24.74;Неорганические высокомолекулярные соединения;;;;
26;26;Науки о Земле (геодезические, геофизические, геологические и географические науки);;;;
26.0;26.0;Земля в целом;;;;
45683;45683;Геодезические науки. Картография;;;;
45987;45987;Высшая геодезия;;;;
46017;46017;Геодезия. Топография;;;;
26.17;26.17;Картография;;;;
45714;45714;Геофизические науки;;;;
26.21;26.21;Физика недр Земли;;;;
26.22;26.22;Гидрология;;;;
26.221;26.221;Океанология;;;;
26.222;26.222;Гидрология суши;;;;
;;;;;;
26.222.5;26.222.5;Гидрология естественных русловых потоков (рек, временных и;;;;
;;малых водотоков);;;;
26.222.6;26.222.6;Гидрология озер и водохранилищ. Озероведение (лимнология);;;;
26.222.7;26.222.7;Гидрология болот. Болотоведение;;;;
26.222.8;26.222.8;Гляциология;;;;
26.23;26.23;Метеорология;;;;
26.233;26.233;Физика атмосферы;;;;
26.236;26.236;Синоптическая метеорология;;;;
26.237;26.237;Климатология;;;;
45742;45742;Геологические науки;;;;
26.30;26.30;Геохимия;;;;
26.31;26.31;Минералогия. Петрография (петрология);;;;
26.32;26.32;Динамическая (физическая) геология;;;;
26.324;26.324;Тектоника;;;;
26.325;26.325;Вулканология;;;;
26.33;26.33;Историческая геология;;;;
26.34;26.34;Геология полезных ископаемых;;;;
26.341;26.341;Металлические полезные ископаемые;;;;
26.341.2;26.341.2;Месторождения руд черных металлов;;;;
26.341.3;26.341.3;Месторождения руд цветных металлов. Полиметаллические;;;;
;;месторождения;;;;
26.341.5;26.341.5;Месторождения радиоактивных металлов;;;;
26.342;26.342;Неметаллические полезные ископаемые;;;;
26.343;26.343;Горючие полезные ископаемые (каустобиолиты). Битумы;;;;
26.343.1;26.343.1;Нефть;;;;
26.343.3;26.343.3;Угли;;;;
26.343.4;26.343.4;Торф;;;;
26.35;26.35;Гидрогеология;;;;
26.36;26.36;Геокриология (мерзлотоведение);;;;
26.38;26.38;Морская геология;;;;
45895;45895;Геофизические науки;;;;
26.8г;26.8г;История географии и географических открытий;Измененная формулировка;;;
;26.8д;Биографии географов и путешественников;Новый индекс;;;
26.82;26.82;Физическая география;;;;
;;;;;;
26.823;26.823;Геоморфология;;;;
