bbk_full;bbk_abb;description;changes;;;
;;заводов;;;;
;34.5-5-05;Автоматизация и компьютеризация производства;;;;
34.5-7;34.5-7;Технический контроль в технологии машиностроения и в;;;;
;;обработке металлов. Метрология;;;;
34.500.1;34.500.1;Технология производства отдельных изделий;;;;
34.51;34.51;Технология производства заготовок;СТ. 34.500.16;;;
;;;Технология производства заготовок;;;
34.52;34.52;Защита металлов от окисления в процессе их обработки;СТ. 34.500.2;;;
;;;Защита металлов от окисления в процессе их обработки;;;
34.53;34.53;Горячая обработка металлов;СТ. 34.500.3;;;
;;;Горячая обработка металлов;;;
34.54;34.54;Холодная обработка металлов;СТ. 34.500.4;;;
;;;Холодная обработка металлов;;;
34.55;34.55;Электрическая обработка металлов;СТ. 34.500.5;;;
;;;Электрическая обработка металлов;;;
34.56;34.56;Ультразвуковая обработка металлов;СТ. 34.500.6;;;
;;;Ультразвуковая обработка металлов;;;
34.57;34.57;Обработка металлов с использованием энергии взрыва;СТ. 34.500.7;;;
;;;Обработка металлов с использованием энергии взрыва;;;
34.58;34.58;Другие виды обработки металлов;СТ. 34.500.8;;;
;;;Другие виды обработки металлов;;;
34.59;34.59;Обработка инструментами из отдельных материалов;СТ. 34.500.9;;;
;;;Обработка инструментами из;;;
;;;;;;
;;;отдельных материалов;;;
34.6;34.6;Отдельные машиностроительные и металлообрабатывающие процессы и производства;;;;
34.61;34.61;Литейное производство (фасонное литье металлов);;;;
34.611;34.611;Модельное производство;;;;
34.612;34.612;Формовка;;;;
34.615;34.615;Заливка металла в формы;;;;
34.616;34.616;Отдельные виды литья;;;;
34.618;34.618;Обработка фасонных отливок. Исправление брака;;;;
34.62;34.62;Обработка металлов давлением;;;;
34.621;34.621;Прокатное производство;;;;
34.622;34.622;Волочильное производство;;;;
34.623;34.623;Кузнечно-прессовое производство;;;;
34.63;34.63;Обработка металлов резанием;;;;
34.63-1;34.63-1;Теория резания металлов;;;;
34.63-5;34.63-5;Оборудование механических цехов;;;;
34.630.01;34.630.01;Обработка резанием отдельных изделий;;;;
34.630.2;34.630.2;Работа на металлорежущих станках-автоматах и полуавтоматах.;;;;
;;Автоматизация и компьютеризация обработки резанием;;;;
34.630.3;34.630.3;Работа на агрегатных и комбинированных станках;;;;
34.630.4;34.630.4;Работа на многолезвийных, многоинструментальных,;;;;
;;многошпиндельных станках;;;;
34.630.5;34.630.5;Работа на копировальных станках;;;;
34.630.6;34.630.6;Резание металлов по методу обкатки;;;;
34.631;34.631;Подготовительные процессы при обработке металлов резанием;;;;
34.632;34.632;Токарная обработка металлов;;;;
34.632.1;;;См. 34.632 Товарная обработка;;;
;;;металлов;;;
34.632.3;;;См. 34.632 Товарная обработка;;;
;;;металлов;;;
34.632.4;;;См. 34.632 Товарная обработка;;;
;;;металлов;;;
34.632.5;;;См. 34.632 Товарная обработка;;;
;;;металлов;;;
;;;;;;
34.633;34.633;Сверление, зенкерование металлов и развертывание отверстий в;;;;
;;металлах;;;;
34.633.1;34.633.1;Сверление металлов;;;;
34.633.2;34.633.2;Зенкерование, зенкование, цекование металлов;;;;
34.633.3;34.633.3;Развертывание отверстий в металлах;;;;
34.634;34.634;Фрезерование металлов;;;;
34.635;34.635;Строгание металлов. Долбление металлов;;;;
34.636;34.636;Протягивание металлов. Прошивание металлов;;;;
34.637;34.637;Абразивная обработка металлов;;;;
34.637.2;;;См. 34.637 Абразивная обработка;;;
;;;металлов;;;
34.637.3;;;См. 34.637 Абразивная обработка;;;
;;;металлов;;;
34.637.4;;;См. 34.637 Абразивная обработка;;;
;;;металлов;;;
34.637.5;;;См. 34.637 Абразивная обработка;;;
;;;металлов;;;
34.637.6;;;См. 34.637 Абразивная обработка;;;
;;;металлов;;;
34.637.7;;;См. 34.637 Абразивная обработка;;;
;;;металлов;;;
34.638;34.638;Механическая резка металлов. Раскрой металлов;;;;
34.638.1;;;См. 34.638 Механическая резка;;;
;;;металлов. Раскрой металлов;;;
34.638.2;;;См. 34.638 Механическая резка;;;
;;;металлов. Раскрой металлов;;;
34.638.3;;;См. 34.638 Механическая резка;;;
;;;металлов. Раскрой металлов;;;
34.638.4;;;См. 34.638 Механическая резка;;;
;;;металлов. Раскрой металлов;;;
34.638.5;;;См. 34.638 Механическая резка;;;
;;;металлов. Раскрой металлов;;;
34.638.6;;;См. 34.638 Механическая резка;;;
;;;металлов. Раскрой металлов;;;
34.638.7;;;См. 34.638 Механическая резка;;;
;;;;;;
;;;металлов. Раскрой металлов;;;
34.639;34.639;Отходы механических цехов и их использование;;;;
34.64;34.64;Сварка, резка, пайка, наплавка, склеивание и биметаллизация;;;;
;;металлов;;;;
34.641;34.641;Сварка металлов. Производство сварных металлических;;;;
;;конструкций;;;;
34.642;34.642;Резка металлов;;;;
34.643;34.643;Пайка металлов;;;;
34.644;34.644;Наплавка металлов;;;;
34.645;34.645;Склеивание металлов;;;;
34.647;34.647;Биметаллизация. Производство многослойных металлов;;;;
34.65;34.65;Упрочнение металлов;;;;
34.651;34.651;Термическая обработка металлов. Защита металлов от коррозии;;;;
;;термической обработкой;;;;
34.653;34.653;Механическое упрочнение металлов;;;;
34.66;34.66;Коррозия металлов. Защита металлов от коррозии;;;;
34.661;34.661;Электрохимическая защита металлов от коррозии;;;;
34.662;34.662;Защита металлов от коррозии изменением состава среды;;;;
34.663;34.663;Защита металлов от коррозии покрытиями;;;;
34.67;34.67;Слесарные, медницкие, жестяницкие работы. Гравирование.;;;;
;;Клеймение. Очистка металлов;;;;
34.671;34.671;Слесарные работы;;;;
34.672;34.672;Медницкие работы. Жестяницкие работы;;;;
34.673;34.673;Гравирование металлов. Клеймение гравированием;;;;
34.674;34.674;Клеймение. Маркировка металлических изделий;;;;
34.675;34.675;Очистка металлов. Очистка металлов перед нанесением покрытий;;;;
34.68;34.68;Сборка машин и механизмов. Слесарно-сборочные работы;;;;
34.682;34.682;Соединение деталей машин и механизмов;;;;
34.685;34.685;Обкатка (приработка) машин;;;;
34.686;34.686;Балансировка машин и механизмов;;;;
34.687;34.687;Упаковка машин;;;;
34.69;34.69;Отходы машиностроительных и металлообрабатывающих;;;;
;;производств;;;;
34.7;34.7;Технология производства оборудования отраслевого;;;;
;;;;;;
;;назначения;;;;
34.748;34.748;Технология производства труб;;;;
34.751;34.751;Технология производства машин и орудий для сельского и;;;;
;;лесного хозяйства;;;;
34.8;34.8;Производство металлических изделий (метизов);;;;
34.9;34.9;Приборостроение;;;;
34.96;34.96;Технология приборостроения;;;;
;34.962;Технология производства приборов для измерения отдельных;;;;
;;величин;;;;
;34.964;Технология производства оптических приборов, деталей и узлов;;;;
;34.967;Технология производства приборов отраслевого назначения;;;;
35;35;Химическая технология. Химические производства;;;;
35-9;;;См. 35.10-9 Продукция химических;;;
;;;производств;;;
35.09;;;См. 35.10 Химическая технология в;;;
;;;целом;;;
;35.10;Химическая технология в целом;;;;
;35.10-9;Продукция химических производств;;;;
35.102;;;См. 37.279.2 Бытовая химия;;;
35.11;35.11;Основные процессы и аппараты химической технологии;;;;
35.111;35.111;Гидродинамические процессы;;;;
35.112;35.112;Тепловые процессы;;;;
35.113;35.113;Массообменные процессы (диффузионные процессы);;;;
35.114;35.114;Физические процессы;;;;
35.115;35.115;Химические процессы;;;;
35.116;35.116;Механические процессы;;;;
35.119;;;См. 35.10 Химическая технология в;;;
;;;целом;;;
35.20/46;35.20/46;Технология неорганических веществ. Технология основных;;;;
;;химических продуктов;;;;
35.20;35.20;Технология неорганических веществ в целом. Технология;;;;
;;основных химических продуктов в целом;;;;
35.32;35.32;Удобрения;;;;
35.33;35.33;Пестициды;;;;
;;;;;;
35.35;35.35;Электрохимические производства;;;;
35.36;35.36;Радиохимические производства;;;;
35.41;35.41;Силикатные производства в целом;;;;
35.46;35.46;Абразивные материалы и изделия;;;;
35.50/78;35.50/78;Технология органических веществ;;;;
35.50;35.50;Технология органических веществ в целом;;;;
35.51;35.51;Технология топлива;;;;
35.512;35.512;Переработка твердого топлива. Переработка угля;;;;
35.513;35.513;Газификация топлива. Производство генераторных и горючих;;;;
;;газов;;;;
35.514;35.514;Переработка нефти и нефтяных газов. Производство;;;;
;;нефтепродуктов;;;;
35.61;35.61;Органический синтез;;;;
35.62;35.62;Промежуточные продукты (полупродукты) и красители.;;;;
;;Анилинокрасочное производство;;;;
35.63;35.63;Военно-химические производства;;;;
35.66;35.66;Лекарственные вещества и препараты. Фармацевтические;;;;
;;производства;;;;
35.68;35.68;Душистые вещества и парфюмерно-косметические средства;;;;
35.69;35.69;Фотокиноматериалы. Фотохимическое производство;;;;
35.71;35.71;Высокомолекулярные соединения (полимеры) и пластмассы.;;;;
;;Искусственные смолы;;;;
35.710;35.710;Отдельные процессы производства и переработки полимеров,;;;;
;;пресс-материалов и пластмасс;;;;
35.712;35.712;Карбоцепные полимеры и пластмассы на их основе;;;;
35.713;35.713;Гетероцепные полимеры и пластмассы на их основе;;;;
35.719;35.719;Полимеры и пластмассы с особой структурой, особыми;;;;
;;свойствами и специального назначения;;;;
35.72;35.72;Каучук и резина;;;;
35.721;35.721;Каучук;;;;
35.728;35.728;Резина и резиновые изделия;;;;
35.73;35.73;Химические волокна;;;;
35.731;35.731;Искусственные волокна;;;;
35.732;35.732;Синтетические волокна;;;;
;;;;;;
35.733;35.733;Штапельное волокно;;;;
35.738;35.738;Химические волокна специального назначения;;;;
35.74;35.74;Лакокрасочные материалы и лакокрасочные покрытия;;;;
35.742;35.742;Пленкообразующие;;;;
35.743;35.743;Лаки;;;;
35.744;35.744;Олифы;;;;
35.745;35.745;Пигменты;;;;
35.746;35.746;Краски;;;;
35.75;35.75;Клеи, желатина и технологии склеивания;;;;
35.76;35.76;Лесохимические производства. Химическая технология;;;;
;;древесины;;;;
35.76-1;35.76-1;Теоретические основы лесохимического производства;;;;
35.762;35.762;Термическое разложение (пиролиз) древесины;;;;
35.764;35.764;Канифольно-скипидарное производство;;;;
35.765;35.765;Гидролизное производство;;;;
35.766;35.766;Производство дубителей;;;;
35.77;35.77;Целлюлозно-бумажное производство;;;;
35.779;35.779;Производство бумаги;;;;
35.78;35.78;Жиры и масла. Мыла и моющие средства. Воски;;;;
35.782;35.782;Жиры и масла;;;;
35.785;35.785;Мыла и моющие средства;;;;
35.788;35.788;Воски;;;;
35.79;35.79;Другие химические производства;;;;
36;36;Пищевые производства;;;;
;;,1 Производство продуктов по назначению;План расположения для детализации материала по производству и приготовлению отдельных видов продуктов;;;
;;,11 Функциональные продукты;;;;
;;,12 Специализированные продукты;;;;
;;,13 Детские продукты;;;;
;;,2 Производство синтетических продуктов, пищевых заменителей, суррогатов, аналогов;;;;
;;,21 Продукты из сои;;;;
;;,3 Производство продуктов с учетом религиозных и национальных традиций;;;;
;;,4 Производство продуктов специальной консистенции;;;;
;;,5 Приготовление и переработка продуктов в домашних;;;;
;;;;;;
;;условиях;;;;
36-1;36-1;Теоретические основы пищевых производств. Исследования;;;;
36-9;36-9;Пищевые продукты;;;;
36.81;36.81;Процессы и аппараты пищевых производств;;;;
36.81-5;36.81-5;Оборудование пищевых производств. Пищевое машиностроение;;;;
36.82;36.82;Мукомольное и крупяное производства;;;;
36.821;36.821;Хранение и первичная обработка зерна;;;;
36.822;36.822;Мукомольное производство (помол зерна);;;;
36.823;36.823;Крупяное производство;;;;
36.824;36.824;Комбикормовое производство;;;;
36.83;36.83;Хлебопекарное производство (хлебопечение);;;;
36.84;36.84;Сахарное производство;;;;
36.847;36.847;Мед и его переработка;;;;
36.85;36.85;Крахмало-паточное производство;;;;
36.86;36.86;Кондитерское производство;;;;
36.87;36.87;Бродильные производства;;;;
36.88;36.88;Производство безалкогольных напитков;;;;
39.91;36.91;Переработка плодов и овощей;;;;
36.912;;;См. 36.914 Переработка овощных;;;
;;;культур;;;
36.913;;;См. 36.915 Переработка плодов и;;;
;;;ягод;;;
36.914;;;См. 36.915 Переработка плодов и;;;
;;;ягод;;;
;36.914;Переработка овощных культур;;;;
36.915;;;См. 36.918 Переработка;;;
;;;дикорастущих и водных растений;;;
;36.915;Переработка плодов и ягод;;;;
;36.918;Переработка дикорастущих и водных растений;;;;
36.92;36.92;Производство мяса и мясных продуктов;;;;
36.93;36.93;Производство птицепродуктов;;;;
36.94;36.94;Производство рыбы и рыбных продуктов;;;;
36.95;36.95;Производство молока и молочных продуктов;;;;
36.96;36.96;Консервное производство;;;;
;;;;;;
36.97;36.97;Производство пищевых концентратов;;;;
36.98;36.98;Производство вкусовых продуктов;;;;
36.99;36.99;Технология общественного питания. Кулинария;;;;
36.99-5;36.99-5;Оборудование предприятий общественного питания;;;;
36.991;36.991;Приготовление отдельных блюд;;;;
36.992;36.992;Приготовление блюд из отдельных продуктов;;;;
36.996;36.996;Специальная кулинария;;;;
36.997;36.997;Домашняя кулинария. Поваренные книги;;;;
37;37;Технология древесины. Производства легкой промышленности. Домоводство. Бытовые услуги.;;;;
;;Полиграфическое производство. Фотокинотехника;;;;
37.1;37.1;Технология древесины;;;;
37.11;37.11;Древесиноведение;;;;
37.13;37.13;Деревообрабатывающие производства;;;;
37.130;37.130;Отдельные процессы обработки древесины, отходы и их;;;;
;;использование;;;;
37.130.3;37.130.3;Гидротермическая обработка древесины;;;;
37.130.4;37.130.4;Обработка древесины давлением;;;;
37.130.5;37.130.5;Обработка древесины резанием;;;;
37.130.7;;;См. 37.130.9 Измельчение;;;
;;;древесины;;;
37.130.9;37.130.9;Отходы деревообрабатывающих производств и их использование;;;;
37.132;37.132;Лесопильные и лесопильно-строгальные производства;;;;
37.133;37.133;Производство слоистой (клееной) древесины;;;;
37.133.6;37.133.6;Производство древесных пластиков;;;;
;37.133.7;Производство стружечных (древесно-стружечных) плит;;;;
37.133.8;37.133.8;Производство древесно-волокнистых плит;;;;
37.134;37.134;Столярно-механические производства;;;;
37.134.1;37.134.1;Мебельное производство;;;;
37.135;37.135;Производство деревянной тары;;;;
37.136;37.136;Специальные деревообрабатывающие производства;;;;
37.137;37.137;Производство изделий из побочных лесоматериалов;;;;
37.2;37.2;Производства легкой промышленности. Домоводство. Бытовые услуги;;;;
;;;;;;
37.23;37.23;Текстильное производство;;;;
37.230;37.230;Общая технология текстильного производства;;;;
37.230.1;37.230.1;Первичная обработка текстильного сырья;;;;
37.230.2;37.230.2;Прядильное производство;;;;
37.230.3;37.230.3;Крутильное производство;;;;
37.230.4;37.230.4;Ткацкое производство;;;;
37.230.5;37.230.5;Отделочное производство;;;;
37.231;37.231;Хлопчатобумажное производство;;;;
37.231.02;;;См. 37.231 Хлопчатобумажное;;;
;;;производство;;;
37.231.03;;;См. 37.231 Хлопчатобумажное;;;
;;;производство;;;
37.231.04;;;См. 37.231 Хлопчатобумажное;;;
;;;производство;;;
37.231.05;;;См. 37.231 Хлопчатобумажное;;;
;;;производство;;;
37.232;37.232;Переработка лубяных волокон;;;;
37.233;37.233;Шерстяное производство;;;;
37.233.1;37.233.1;Камвольное производство;;;;
37.233.2;37.233.2;Суконное производство;;;;
37.233.5;37.233.5;Переработка шерсти в смеси с другими видами волокон;;;;
37.233.7;37.233.7;Валяльно-войлочное производство;;;;
37.234;37.234;Шелковое производство;;;;
37.235;37.235;Текстильная переработка химических волокон;;;;
37.235.1;37.235.1;Переработка искусственных волокон и искусственного шелка;;;;
37.235.2;37.235.2;Переработка синтетических волокон;;;;
37.235.3;37.235.3;Переработка штапельного волокна;;;;
37.235.4;37.235.4;Переработка стеклянного волокна;;;;
37.235.5;37.235.5;Переработка химических волокон в смеси с различными;;;;
;;волокнами;;;;
37.236;37.236;Текстильная переработка минеральных волокон;;;;
37.237;37.237;Производство особых видов ткани и текстильных изделий;;;;
37.237.1;37.237.1;Нетканые текстильные материалы;;;;
37.237.2;37.237.2;Высокообъемные (объемные) нити и пряжа;;;;
;;;;;;
37.238;37.238;Трикотажное производство;;;;
37.24;37.24;Швейное производство;;;;
37.24-2;37.24-2;Моделирование и конструирование швейных изделий;;;;
37.24-5;37.24-5;Швейные машины;;;;
37.248;37.248;Рукоделие;.;;;
;37.248.1;Шитье;;;;
;37.248.2;Вышивание;;;;
;37.248.3;Вязание;;;;
;37.248.4;Плетение;"1 Плетение кружев; 2 Бисероплетение; 3 Плетение из лозы, ивового прута, соломы и";;;
;;;"т.д.; 4 Плетение макраме";;;
37.25;37.25;Кожевенно-обувное и меховое производства. Производство;;;;
;;изделий из кожи и ее заменителей;;;;
37.252;37.252;Кожевенное производство;;;;
37.253;37.253;Производство заменителей кожи (искусственной кожи);;;;
37.255;37.255;Обувное производство;;;;
37.256;37.256;Производство изделий из кожи и ее заменителей;;;;
37.257;37.257;Меховое производство;;;;
37.27;37.27;Производство других изделий широкого потребления.;;;;
;;Домоводство. Бытовые услуги;;;;
37.279;37.279;Домоводство. Бытовые услуги;;;;
;37.279.1;Бытовая техника;;;;
;37.279.2;Бытовая химия;;;;
;37.279.5;Домоводство;;;;
;37.279.6;Бытовые услуги;;;;
37.8;37.8;Полиграфическое производство;;;;
37.83;37.83;Плоская печать;;;;
37.84;37.84;Глубокая (ракельная) печать;;;;
37.86;37.86;Особые виды печати. Малая полиграфия;;;;
37.86-5;37.86-5;Копировальные аппараты;;;;
37.874;;;См. 60.844 Делопроизводство.;;;
;;;Документооборот;;;
37.874-5;;;См. 60.844 Делопроизводство.;;;
;;;;;;
;;;Документооборот;;;
37.88;37.88;Брошюровочно-переплетное производство;;;;
37.89;37.89;Производство отдельных видов печатной продукции;;;;
37.9;37.9;Фотокинотехника;;;;
37.91;37.91;Теория фотографических процессов;;;;
37.93;37.93;Фотокиновидеоматериалы;;;;
37.94;37.94;Фотография;;;;
37.940.2;37.940.2;Фотосъемка;;;;
37.940.2-5;37.940.2-5;Фотоаппараты и приспособления к ним;;;;
37.940.3;37.940.3;Обработка фотоизображений;;;;
37.941;37.941;Отдельные виды фотографии;;;;
37.941.2;37.941.2;Цветная фотография;;;;
;37.941.7;Цифровая фотография;;;;
37.95;37.95;Кинотехника, видеотехника;;;;
;37.95-5;Киносъемочные аппараты и приспособления к ним;;;;
38;38;Строительство;;;;
38.1;38.1;Теоретические основы строительства;;;;
38.112;38.112;Строительная механика;;;;
38.113;38.113;Строительная физика;;;;
38.115;38.115;Геодезия в строительстве;;;;
38.2;38.2;Изыскания и архитектурно-строительное проектирование;;;;
38.3;38.3;Строительные материалы и изделия;;;;
38.31;38.31;Каменные материалы и изделия;;;;
38.32;38.32;Вяжущие вещества;;;;
38.33;38.33;Бетоны и строительные растворы;;;;
38.34;38.34;Металлы и металлические изделия;;;;
38.35;38.35;Древесина и изделия из нее;;;;
38.36;38.36;Полимерные материалы и изделия;;;;
38.37;38.37;Битуминозные материалы и изделия;;;;
38.38;38.38;Стекло и стеклоизделия;;;;
38.39;38.39;Местные строительные материалы;;;;
38.4;38.4;Части зданий (архитектурные конструкции);;;;
38.42;38.42;Ограждающие конструкции;;;;
38.43;38.43;Стены и перегородки;;;;
;;;;;;
38.44;38.44;Перекрытия и покрытия;;;;
38.45;38.45;Полы и напольные покрытия;;;;
38.46;38.46;Окна, двери и ворота;;;;
38.47;38.47;Лестницы;;;;
38.48;38.48;Инженерное оборудование зданий. Системы безопасности зданий;;;;
38.5;38.5;Строительные конструкции;;;;
38.51;38.51;Каменные конструкции;;;;
38.53;38.53;Бетонные и железобетонные конструкции;;;;
38.54;38.54;Металлические конструкции;;;;
38.55;38.55;Деревянные конструкции;;;;
38.56;38.56;Пластмассовые конструкции;;;;
38.57;38.57;Комплексные конструкции;;;;
38.58;38.58;Основания и фундаменты;;;;
38.6;38.6;Технология строительного производства;;;;
38.6н;38.6н;Техника безопасности в строительстве;;;;
38.6-4;38.6-4;Строительные площадки;;;;
38.6-44;38.6-44;Транспортное хозяйство (внутрипостроечный транспорт);;;;
38.6-5;38.6-5;Строительное оборудование. Строительное машиностроение;;;;
38.6-7;38.6-7;Надзор, технический контроль, сдача и приемка строительных;;;;
;;работ;;;;
38.621;38.621;Подготовительные и вспомогательные работы. Работы нулевого;;;;
;;цикла;;;;
38.623;38.623;Земляные работы;;;;
38.625;38.625;Каменные работы (технология каменной кладки);;;;
38.626;36.626;Бетонные и железобетонные работы;;;;
38.626.1;36.626.1;Производство монолитных бетонных и железобетонных;;;;
;;конструкций;;;;
38.626.2;38.626.2;Производство сборных бетонных и железобетонных конструкций;;;;
38.626.3;38.626.3;Обработка бетона;;;;
38.634;38.634;Металлические работы;;;;
38.635;38.635;Плотничные и столярные работы;;;;
38.637;38.637;Изоляционные работы;;;;
38.638;38.638;Монтаж (сборка) строительных конструкций;;;;
38.639;38.639;Отделочные работы;;;;
;;;;;;
38.639.1;38.639.1;Штукатурные работы;;;;
38.639.2;38.639.2;Малярные работы;;;;
38.639.3;38.639.3;Обойные работы;;;;
38.639.4;38.639.4;Облицовочные работы;;;;
38.639.5;38.639.5;Лепные работы. Установка архитектурных и скульптурных;;;;
;;деталей;;;;
38.639.6;38.639.6;Стекольные работы;;;;
;38.639.7;Отделка гипсокартонном;;;;
38.648;;;См. 38.6 Технология строительного;;;
;;;производства;;;
38.654;38.654;Возведение (устройство) отдельных частей зданий и сооружений;;;;
38.654.1;38.654.1;Возведение оснований и фундаментов;;;;
38.654.3;38.654.3;Устройство кровель;;;;
38.654.5;38.654.5;Устройство (настилка) полов;;;;
;38.654.7;Устройство лестниц;;;;
38.683;38.683;Ремонтно-строительные работы;;;;
38.684;38.684;Передвижка зданий;;;;
38.7;38.7;Отдельные виды строительства;;;;
38.706;38.706;Сборные (индустриальные) здания;;;;
;38.707;Здания по виду планировки;;;;
38.708;38.708;Сборно-разборные, передвижные и переносные здания,;;;;
;;сооружения, конструкции. Временные здания и сооружения;;;;
38.71;38.71;Гражданское строительство;;;;
38.711;38.711;Жилищное строительство;;;;
38.712;38.712;Общественные здания и сооружения;;;;
;38.718;Малые архитектурные формы;;;;
38.72;38.72;Промышленное строительство;;;;
38.728;38.728;Специальные промышленные сооружения;;;;
38.73;38.73;Энергетическое строительство;;;;
38.74;38.74;Транспортное строительство;;;;
38.75;38.75;Сельскохозяйственное строительство;;;;
38.751;;;См. 38.75 Сельскохозяйственное;;;
;;;строительство;;;
38.752;38.752;Постройки для отраслей растениеводства;;;;
;;;;;;
38.756;38.756;Животноводческие постройки;;;;
38.76;38.76;Санитарно-техническое строительство;;;;
38.761;38.761;Водоснабжение и канализация;;;;
38.761.1;38.761.1;Водоснабжение. Системы водоснабжения (водопроводы);;;;
38.761.2;38.761.2;Канализация;;;;
38.762;38.762;Отопление, вентиляция и кондиционирование воздуха;;;;
38.762.1;38.762.1;Отопление;;;;
38.762.2;38.762.2;Вентиляция. Вентиляционные системы;;;;
38.762.3;38.762.3;Кондиционирование воздуха;;;;
38.763;38.763;Газоснабжение;;;;
38.765;38.765;Горячее водоснабжение;;;;
38.77;38.77;Гидротехническое строительство;;;;
38.771;38.771;Водохранилища;;;;
38.772;38.772;Водонапорные (водоподъемные) и водоудержательные;;;;
;;сооружения;;;;
38.773;38.773;Водосборные и водоспускные сооружения. Сооружения для;;;;
;;сопряжения бьефов;;;;
38.774;38.774;Водозаборные (водоприемные) сооружения;;;;
38.775;38.775;Отстойники и промывные устройства;;;;
38.776;38.776;Водопроводящие сооружения (водоводы);;;;
38.777;38.777;Выправительные (регуляционные) и защитные сооружения;;;;
38.778;38.778;Гидротехнические сооружения специального назначения;;;;
38.779;38.779;Гидротехнические сооружения в особых условиях;;;;
38.78;38.78;Подземное строительство;;;;
38.79;38.79;Строительство в особых условиях;;;;
38.9;38.9;Экология населенных мест;;;;
38.93;;;См. 38.9 Экология населенных мест Банно-прачечное дело см. 37.279.6 Бытовые услуги;;;
;;;Техника кремации и захоронения см. 37.279.6 Бытовые услуги;;;
38.937;;;См. 37.279.6 Бытовые услуги;;;
38.96;;;См. 68.923 Противопожарная;;;
;;;служба;;;
;;;;;;
39;39;Транспорт;;;;
39.1;39.1;Общие вопросы транспорта;;;;
39.11;39.11;Пути сообщения и транспортные сооружения;;;;
39.112;39.112;Искусственные сооружения на транспорте;;;;
39.12;39.12;Подвижной состав транспорта. Транспортные средства.;;;;
;;Транспортное машиностроение;;;;
39.15;39.15;Транспортные силовые установки;;;;
39.16;39.16;Оборудование подвижного состава;;;;
39.17;39.17;Автоматизация и связь на транспорте;;;;
39.18;39.18;Перевозки;;;;
39.2;39.2;Железнодорожный транспорт;;;;
39.20;39.20;Железные дороги;;;;
39.20-06;39.20-06;Технология строительства железных дорог;;;;
39.21;39.21;Железнодорожный путь. Железнодорожные станции и устройства;;;;
;;энергоснабжения электрических железных дорог;;;;
39.211;39.211;Железнодорожный путь;;;;
39.211-08;39.211-08;Путевые работы;;;;
39.213;39.213;Железнодорожные станции;;;;
39.217;39.217;Устройства энергоснабжения электрических железных дорог;;;;
39.22;39.22;Подвижной состав железных дорог в целом. Локомотиво- и;;;;
;;вагоностроение в целом.;;;;
39.22-04;39.22-04;Детали, узлы, системы подвижного состава железных дорог;;;;
39.22-08;39.22-08;Техническая эксплуатация и ремонт подвижного состава;;;;
;;железных дорог;;;;
39.23;39.23;Локомотивы. Локомотивостроение;;;;
39.231;39.231;Паровозы. Паровозостроение;;;;
39.232;39.232;Электроподвижной состав железных дорог;;;;
39.233;39.233;Газотурбовозы. Газотурбовозостроение;;;;
39.235;39.235;Тепловозы, дизельные поезда и моторно-рельсовый подвижной;;;;
;;состав;;;;
39.24;39.24;Вагоны. Вагоностроение;;;;
39.26;39.26;Тормоза подвижного состава;;;;
39.27;39.27;Автоматизация и связь на железнодорожном транспорте;;;;
39.275;39.275;Автоматизация и компьютеризация на железнодорожном;;;;
;;;;;;
;;транспорте;;;;
;39.275.5;Автоматизация и компьютеризация управления движением поезда;;;;
39.275.7;;;См. 39.275 Автоматизация и компьютеризация на;;;
;;;железнодорожном транспорте;;;
39.275.8;39.275.8;Сигнализация на железнодорожном транспорте;;;;
39.278;39.278;Связь на железнодорожном транспорте;;;;
39.279;39.279;Электроснабжение устройств автоматизации и связи на;;;;
;;железнодорожном транспорте;;;;
39.28;39.28;Железнодорожные перевозки (эксплуатация железных дорог);;;;
39.29;39.29;Особые виды железнодорожного транспорта;;;;
39.291;39.291;Узкоколейный железнодорожный транспорт;;;;
39.295;39.295;Однорельсовый (монорельсовый) железнодорожный транспорт;;;;
39.299;39.299;Промышленный железнодорожный транспорт;;;;
39.3;39.3;Автодорожный транспорт;;;;
39.31;39.31;Автомобильные дороги и автостанции;;;;
39.311;39.311;Автомобильные дороги. Дорожное строительство;;;;
39.311-06;39.311-06;Технология строительства автомобильных дорог;;;;
39.311-06-5;39.311-06-5;Дорожно-строительные машины, механизмы и приспособления.;;;;
;;Дорожное машиностроение;;;;
39.313;39.313;Автостанции. Автовокзалы;;;;
39.32;39.32;Подвижной состав автодорожного транспорта в целом;;;;
39.33;39.33;Автомобили. Автомобилестроение;;;;
39.33-01;39.33-01;Теория автомобиля;;;;
39.33-04;39.33-04;Детали, узлы, агрегаты автомобилей;;;;
39.33-08;39.33-08;Техническая эксплуатация и ремонт автомобилей;;;;
39.335.4;39.335.4;Грузовые автомобили;;;;
39.335.5;39.335.5;Пассажирские автомобили;;;;
39.335.52;39.335.52;Легковые автомобили;;;;
39.335.53;39.335.53;Автобусы;;;;
39.335.6;39.335.6;Спортивные и гоночные автомобили;;;;
39.336;39.336;Автомобили повышенной и высокой проходимости;;;;
;39.336.7;Автомобили с особого рода движителями;;;;
39.34;39.34;Тракторы. Тракторостроение;;;;
;;;;;;
39.34-04;39.34-04;Детали, узлы, агрегаты тракторов;;;;
39.35;39.35;Автотракторные двигатели (автомобильные и тракторные;;;;
;;двигатели);;;;
39.35-08н;39.35-08н;Техника безопасности при эксплуатации автомобильных;;;;
;;двигателей;;;;
39.353;39.353;Автотракторные карбюраторные и инжекторные двигатели;;;;
